,MONTH,STATE,GENERATION
0,1,Alaska,516962.0
1,2,Alaska,484039.0
2,3,Alaska,455932.0
3,4,Alaska,418125.0
4,5,Alaska,411978.0
5,6,Alaska,531321.0
6,7,Alaska,560241.0
7,8,Alaska,570720.0
8,9,Alaska,460316.0
9,10,Alaska,470063.0
10,11,Alaska,509618.0
11,12,Alaska,554213.0
12,1,Alabama,12437071.0
13,2,Alabama,11205731.0
14,3,Alabama,10460787.0
15,4,Alabama,9070791.0
16,5,Alabama,11236484.0
17,6,Alabama,12169896.0
18,7,Alabama,13641306.0
19,8,Alabama,13937140.0
20,9,Alabama,12263548.0
21,10,Alabama,11897593.0
22,11,Alabama,12430608.0
23,12,Alabama,12204183.0
24,1,Arkansas,5219341.0
25,2,Arkansas,4482798.0
26,3,Arkansas,4561694.0
27,4,Arkansas,3792933.0
28,5,Arkansas,3999507.0
29,6,Arkansas,5764195.0
30,7,Arkansas,6473704.0
31,8,Arkansas,6643288.0
32,9,Arkansas,5721982.0
33,10,Arkansas,4821257.0
34,11,Arkansas,4128279.0
35,12,Arkansas,4621158.0
36,1,Arizona,8689647.0
37,2,Arizona,6918909.0
38,3,Arizona,7981800.0
39,4,Arizona,8044688.0
40,5,Arizona,8851834.0
41,6,Arizona,10663748.0
42,7,Arizona,11713549.0
43,8,Arizona,11498006.0
44,9,Arizona,10115012.0
45,10,Arizona,8511808.0
46,11,Arizona,7410368.0
47,12,Arizona,8209164.0
48,1,California,13501478.0
49,2,California,12302875.0
50,3,California,14286088.0
51,4,California,14769968.0
52,5,California,16306001.0
53,6,California,18463000.0
54,7,California,21903460.0
55,8,California,20631178.0
56,9,California,18078707.0
57,10,California,16376957.0
58,11,California,14872424.0
59,12,California,15234969.0
60,1,Colorado,4848930.0
61,2,Colorado,4568777.0
62,3,Colorado,4669512.0
63,4,Colorado,4279299.0
64,5,Colorado,4214582.0
65,6,Colorado,5034249.0
66,7,Colorado,5595931.0
67,8,Colorado,5499518.0
68,9,Colorado,4662011.0
69,10,Colorado,4186754.0
70,11,Colorado,4271071.0
71,12,Colorado,4907084.0
72,1,Connecticut,3652864.0
73,2,Connecticut,3507148.0
74,3,Connecticut,3738943.0
75,4,Connecticut,3214657.0
76,5,Connecticut,3481474.0
77,6,Connecticut,3726065.0
78,7,Connecticut,4053643.0
79,8,Connecticut,4256341.0
80,9,Connecticut,3722138.0
81,10,Connecticut,2995826.0
82,11,Connecticut,3935668.0
83,12,Connecticut,3838804.0
84,1,District of Columbia,18510.0
85,2,District of Columbia,16804.0
86,3,District of Columbia,18290.0
87,4,District of Columbia,13034.0
88,5,District of Columbia,19053.0
89,6,District of Columbia,21155.0
90,7,District of Columbia,22003.0
91,8,District of Columbia,20354.0
92,9,District of Columbia,18491.0
93,10,District of Columbia,15970.0
94,11,District of Columbia,17601.0
95,12,District of Columbia,16973.0
96,1,Delaware,113398.0
97,2,Delaware,222933.0
98,3,Delaware,226092.0
99,4,Delaware,201068.0
100,5,Delaware,261192.0
101,6,Delaware,469354.0
102,7,Delaware,568661.0
103,8,Delaware,657353.0
104,9,Delaware,297368.0
105,10,Delaware,222026.0
106,11,Delaware,346450.0
107,12,Delaware,454076.0
108,1,Florida,18106650.0
109,2,Florida,17286916.0
110,3,Florida,18383911.0
111,4,Florida,18559241.0
112,5,Florida,21703328.0
113,6,Florida,22633606.0
114,7,Florida,24505463.0
115,8,Florida,25364221.0
116,9,Florida,22506660.0
117,10,Florida,20145563.0
118,11,Florida,17033671.0
119,12,Florida,18171804.0
120,1,Georgia,10419599.0
121,2,Georgia,9952129.0
122,3,Georgia,8636468.0
123,4,Georgia,9491086.0
124,5,Georgia,10396751.0
125,6,Georgia,12166686.0
126,7,Georgia,12597808.0
127,8,Georgia,13231111.0
128,9,Georgia,10203614.0
129,10,Georgia,9755428.0
130,11,Georgia,9841312.0
131,12,Georgia,9838752.0
132,1,Hawaii,757304.0
133,2,Hawaii,656459.0
134,3,Hawaii,736485.0
135,4,Hawaii,707736.0
136,5,Hawaii,768042.0
137,6,Hawaii,777545.0
138,7,Hawaii,810181.0
139,8,Hawaii,826982.0
140,9,Hawaii,789399.0
141,10,Hawaii,790787.0
142,11,Hawaii,787748.0
143,12,Hawaii,779425.0
144,1,Iowa,5518491.0
145,2,Iowa,5101557.0
146,3,Iowa,5389102.0
147,4,Iowa,5186013.0
148,5,Iowa,5040473.0
149,6,Iowa,5732026.0
150,7,Iowa,5721159.0
151,8,Iowa,5899787.0
152,9,Iowa,5731383.0
153,10,Iowa,5430947.0
154,11,Iowa,5673447.0
155,12,Iowa,5695882.0
156,1,Idaho,1596907.0
157,2,Idaho,1462670.0
158,3,Idaho,1404034.0
159,4,Idaho,1138586.0
160,5,Idaho,1449455.0
161,6,Idaho,1603708.0
162,7,Idaho,1454767.0
163,8,Idaho,1431700.0
164,9,Idaho,1197794.0
165,10,Idaho,1132608.0
166,11,Idaho,1420311.0
167,12,Idaho,1656048.0
168,1,Illinois,16076958.0
169,2,Illinois,14948150.0
170,3,Illinois,13382765.0
171,4,Illinois,13213966.0
172,5,Illinois,14946614.0
173,6,Illinois,15858483.0
174,7,Illinois,16763648.0
175,8,Illinois,17421598.0
176,9,Illinois,14611662.0
177,10,Illinois,13568903.0
178,11,Illinois,14946236.0
179,12,Illinois,16120385.0
180,1,Indiana,8955451.0
181,2,Indiana,9689686.0
182,3,Indiana,6942999.0
183,4,Indiana,6260578.0
184,5,Indiana,6954828.0
185,6,Indiana,8713097.0
186,7,Indiana,9542500.0
187,8,Indiana,10146851.0
188,9,Indiana,7625956.0
189,10,Indiana,6589878.0
190,11,Indiana,5871719.0
191,12,Indiana,7271621.0
192,1,Kansas,4709056.0
193,2,Kansas,4271902.0
194,3,Kansas,4965709.0
195,4,Kansas,3977917.0
196,5,Kansas,4358686.0
197,6,Kansas,4940542.0
198,7,Kansas,5378267.0
199,8,Kansas,5328167.0
200,9,Kansas,4814452.0
201,10,Kansas,4334915.0
202,11,Kansas,4413179.0
203,12,Kansas,5253161.0
204,1,Kentucky,6389250.0
205,2,Kentucky,6422650.0
206,3,Kentucky,5131243.0
207,4,Kentucky,5027893.0
208,5,Kentucky,5672897.0
209,6,Kentucky,6627472.0
210,7,Kentucky,7155449.0
211,8,Kentucky,7333650.0
212,9,Kentucky,5663576.0
213,10,Kentucky,4880493.0
214,11,Kentucky,5243893.0
215,12,Kentucky,5005797.0
216,1,Louisiana,7872511.0
217,2,Louisiana,7399319.0
218,3,Louisiana,6717683.0
219,4,Louisiana,6973411.0
220,5,Louisiana,7782021.0
221,6,Louisiana,8779524.0
222,7,Louisiana,10019341.0
223,8,Louisiana,10162026.0
224,9,Louisiana,7401591.0
225,10,Louisiana,9063974.0
226,11,Louisiana,7995948.0
227,12,Louisiana,7894614.0
228,1,Massachusetts,2030333.0
229,2,Massachusetts,1822513.0
230,3,Massachusetts,1349996.0
231,4,Massachusetts,1067242.0
232,5,Massachusetts,1163695.0
233,6,Massachusetts,2031454.0
234,7,Massachusetts,2014601.0
235,8,Massachusetts,2234294.0
236,9,Massachusetts,1493892.0
237,10,Massachusetts,1502326.0
238,11,Massachusetts,1229088.0
239,12,Massachusetts,1427563.0
240,1,Maryland,3254950.0
241,2,Maryland,3378154.0
242,3,Maryland,2805982.0
243,4,Maryland,3032541.0
244,5,Maryland,2973651.0
245,6,Maryland,3298037.0
246,7,Maryland,3895621.0
247,8,Maryland,3888555.0
248,9,Maryland,3378974.0
249,10,Maryland,3508641.0
250,11,Maryland,3296986.0
251,12,Maryland,3007203.0
252,1,Maine,953826.0
253,2,Maine,919161.0
254,3,Maine,976106.0
255,4,Maine,789774.0
256,5,Maine,836400.0
257,6,Maine,887200.0
258,7,Maine,834567.0
259,8,Maine,925857.0
260,9,Maine,879648.0
261,10,Maine,979777.0
262,11,Maine,998715.0
263,12,Maine,971744.0
264,1,Michigan,10493566.0
265,2,Michigan,10149998.0
266,3,Michigan,9505376.0
267,4,Michigan,8005531.0
268,5,Michigan,7680195.0
269,6,Michigan,10027019.0
270,7,Michigan,10404737.0
271,8,Michigan,10995383.0
272,9,Michigan,9307213.0
273,10,Michigan,9744104.0
274,11,Michigan,9964655.0
275,12,Michigan,9767606.0
276,1,Minnesota,4887674.0
277,2,Minnesota,5273602.0
278,3,Minnesota,4442237.0
279,4,Minnesota,4008361.0
280,5,Minnesota,3806760.0
281,6,Minnesota,5232700.0
282,7,Minnesota,5919769.0
283,8,Minnesota,6204062.0
284,9,Minnesota,4694826.0
285,10,Minnesota,4710897.0
286,11,Minnesota,5043459.0
287,12,Minnesota,5403674.0
288,1,Missouri,6849268.0
289,2,Missouri,6615039.0
290,3,Missouri,5385210.0
291,4,Missouri,5007319.0
292,5,Missouri,5359853.0
293,6,Missouri,6775692.0
294,7,Missouri,7245563.0
295,8,Missouri,8272642.0
296,9,Missouri,7122833.0
297,10,Missouri,6252552.0
298,11,Missouri,6337690.0
299,12,Missouri,6592318.0
300,1,Mississippi,6841518.0
301,2,Mississippi,5611210.0
302,3,Mississippi,4584314.0
303,4,Mississippi,5250313.0
304,5,Mississippi,5447796.0
305,6,Mississippi,6244269.0
306,7,Mississippi,6837682.0
307,8,Mississippi,6891275.0
308,9,Mississippi,5313062.0
309,10,Mississippi,5043275.0
310,11,Mississippi,5241747.0
311,12,Mississippi,5406865.0
312,1,Montana,2563159.0
313,2,Montana,2067389.0
314,3,Montana,2153830.0
315,4,Montana,1452107.0
316,5,Montana,1725658.0
317,6,Montana,1910224.0
318,7,Montana,2083090.0
319,8,Montana,1976881.0
320,9,Montana,1903277.0
321,10,Montana,1891958.0
322,11,Montana,2255853.0
323,12,Montana,2483213.0
324,1,North Carolina,11797316.0
325,2,North Carolina,10767667.0
326,3,North Carolina,9661793.0
327,4,North Carolina,9084334.0
328,5,North Carolina,9878869.0
329,6,North Carolina,11749564.0
330,7,North Carolina,13186228.0
331,8,North Carolina,13519133.0
332,9,North Carolina,10659491.0
333,10,North Carolina,9965263.0
334,11,North Carolina,10617471.0
335,12,North Carolina,10375554.0
336,1,North Dakota,3862790.0
337,2,North Dakota,3556004.0
338,3,North Dakota,3699351.0
339,4,North Dakota,3216452.0
340,5,North Dakota,3092296.0
