,STATE,TYPE OF PRODUCER,GENERATION
0,Alaska,"Combined Heat and Power, Commercial Power",350962.0
1,Alaska,"Combined Heat and Power, Electric Power",199567.0
2,Alaska,"Combined Heat and Power, Industrial Power",111166.0
3,Alaska,"Electric Generators, Electric Utilities",5229885.0
4,Alaska,"Electric Generators, Independent Power Producers",51947.0
5,Alabama,"Combined Heat and Power, Electric Power",4031284.0
6,Alabama,"Combined Heat and Power, Industrial Power",4640626.0
7,Alabama,"Electric Generators, Electric Utilities",107332202.0
8,Alabama,"Electric Generators, Independent Power Producers",26951021.0
9,Arkansas,"Combined Heat and Power, Commercial Power",62136.0
10,Arkansas,"Combined Heat and Power, Electric Power",1023489.0
11,Arkansas,"Combined Heat and Power, Industrial Power",1196173.0
12,Arkansas,"Electric Generators, Electric Utilities",53337372.0
13,Arkansas,"Electric Generators, Independent Power Producers",4610967.0
14,Arizona,"Combined Heat and Power, Commercial Power",154108.0
15,Arizona,"Combined Heat and Power, Electric Power",52607.0
16,Arizona,"Electric Generators, Electric Utilities",86348455.0
17,Arizona,"Electric Generators, Independent Power Producers",22053365.0
18,California,"Combined Heat and Power, Commercial Power",2400830.0
19,California,"Combined Heat and Power, Electric Power",12417290.0
20,California,"Combined Heat and Power, Industrial Power",13513448.0
21,California,"Electric Generators, Electric Utilities",61737283.0
22,California,"Electric Generators, Independent Power Producers",106658255.0
23,Colorado,"Combined Heat and Power, Commercial Power",36299.0
24,Colorado,"Combined Heat and Power, Electric Power",36629.0
25,Colorado,"Combined Heat and Power, Industrial Power",256188.0
26,Colorado,"Electric Generators, Electric Utilities",41364397.0
27,Colorado,"Electric Generators, Independent Power Producers",15044204.0
28,Connecticut,"Combined Heat and Power, Commercial Power",316117.0
29,Connecticut,"Combined Heat and Power, Electric Power",123788.0
30,Connecticut,"Combined Heat and Power, Industrial Power",612115.0
31,Connecticut,"Electric Generators, Electric Utilities",94322.0
32,Connecticut,"Electric Generators, Independent Power Producers",42977227.0
33,District of Columbia,"Combined Heat and Power, Commercial Power",192256.0
34,District of Columbia,"Electric Generators, Independent Power Producers",25982.0
35,Delaware,"Combined Heat and Power, Commercial Power",5393.0
36,Delaware,"Combined Heat and Power, Electric Power",120682.0
37,Delaware,"Combined Heat and Power, Industrial Power",911931.0
38,Delaware,"Electric Generators, Electric Utilities",27602.0
39,Delaware,"Electric Generators, Independent Power Producers",2974363.0
40,Florida,"Combined Heat and Power, Commercial Power",94938.0
41,Florida,"Combined Heat and Power, Electric Power",1687471.0
42,Florida,"Combined Heat and Power, Industrial Power",4627609.0
43,Florida,"Electric Generators, Electric Utilities",227993630.0
44,Florida,"Electric Generators, Independent Power Producers",9997385.0
45,Georgia,"Combined Heat and Power, Commercial Power",4711.0
46,Georgia,"Combined Heat and Power, Electric Power",527596.0
47,Georgia,"Combined Heat and Power, Industrial Power",5095129.0
48,Georgia,"Electric Generators, Electric Utilities",102646392.0
49,Georgia,"Electric Generators, Independent Power Producers",18256917.0
50,Hawaii,"Combined Heat and Power, Commercial Power",364607.0
51,Hawaii,"Combined Heat and Power, Electric Power",2294287.0
52,Hawaii,"Combined Heat and Power, Industrial Power",221674.0
53,Hawaii,"Electric Generators, Electric Utilities",4721460.0
54,Hawaii,"Electric Generators, Independent Power Producers",1586065.0
55,Iowa,"Combined Heat and Power, Commercial Power",142153.0
56,Iowa,"Combined Heat and Power, Electric Power",4065.0
57,Iowa,"Combined Heat and Power, Industrial Power",2065820.0
58,Iowa,"Electric Generators, Electric Utilities",54854479.0
59,Iowa,"Electric Generators, Independent Power Producers",9053749.0
60,Idaho,"Combined Heat and Power, Commercial Power",68356.0
61,Idaho,"Combined Heat and Power, Electric Power",67389.0
