,State,State Code,GENERATION
0,Alaska,AK,5943530.0
1,Alabama,AL,142955133.0
2,Arkansas,AR,60230137.0
3,Arizona,AZ,108608535.0
4,California,CA,196727116.0
5,Colorado,CO,56737727.0
6,Connecticut,CT,44123575.0
7,District of Columbia,DC,218241.0
8,Delaware,DE,4039976.0
9,Florida,FL,244401038.0
10,Georgia,GA,126530745.0
11,Hawaii,HI,9188089.0
12,Iowa,IA,66120266.0
13,Idaho,ID,16948581.0
14,Illinois,IL,181859377.0
15,Indiana,IN,94565161.0
16,Kansas,KS,56745956.0
17,Kentucky,KY,70554259.0
18,Louisiana,LA,98061967.0
19,Massachusetts,MA,19366993.0
20,Maryland,MD,39719296.0
21,Maine,ME,10952775.0
22,Michigan,MI,116045383.0
23,Minnesota,MN,59628025.0
24,Missouri,MO,77815983.0
25,Mississippi,MS,68713324.0
26,Montana,MT,24466637.0
27,North Carolina,NC,131262686.0
28,North Dakota,ND,42705232.0
29,Nebraska,NE,38644643.0
30,New Hampshire,NH,17434999.0
31,New Jersey,NJ,61386527.0
32,New Mexico,NM,35271296.0
33,Nevada,NV,41880191.0
34,New York,NY,125226026.0
35,Ohio,OH,123335613.0
36,Oklahoma,OK,80564122.0
37,Oregon,OR,61081837.0
38,Pennsylvania,PA,241648365.0
39,Rhode Island,RI,8035017.0
40,South Carolina,SC,99924409.0
41,South Dakota,SD,17834631.0
42,Tennessee,TN,81478887.0
43,Texas,TX,483561769.0
44,Utah,UT,42656775.0
45,Virginia,VA,94309019.0
46,Vermont,VT,2147738.0
47,Washington,WA,109122726.0
48,Wisconsin,WI,65478679.0
49,West Virginia,WV,65630564.0
50,Wyoming,WY,43650676.0
